GeneID	Annotation
gene-SPN23F_RS00005	dnaA
cds-WP_000660615.1	WP_000660615.1
gene-SPN23F_RS00010	dnaN
cds-WP_000581157.1	WP_000581157.1
gene-SPN23F_RS00015	SPN23F_RS00015
cds-WP_000285194.1	WP_000285194.1
gene-SPN23F_RS00020	ychF
cds-WP_001218707.1	WP_001218707.1
gene-SPN23F_RS00025	pth
cds-WP_000163930.1	WP_000163930.1
gene-SPN23F_RS00030	mfd
cds-WP_000258117.1	WP_000258117.1
gene-SPN23F_RS00035	SPN23F_RS00035
cds-WP_001234978.1	WP_001234978.1
gene-SPN23F_RS00040	SPN23F_RS00040
cds-WP_000041909.1	WP_000041909.1
gene-SPN23F_RS14045	SPN23F_RS14045
cds-WP_000429334.1	WP_000429334.1
gene-SPN23F_RS00050	SPN23F_RS00050
cds-WP_001224768.1	WP_001224768.1
gene-SPN23F_RS00055	tilS
cds-WP_001208992.1	WP_001208992.1
gene-SPN23F_RS00060	hpt
cds-WP_000892185.1	WP_000892185.1
gene-SPN23F_RS00065	ftsH
cds-WP_000744545.1	WP_000744545.1
gene-SPN23F_RS00070	SPN23F_RS00070
cds-WP_000436644.1	WP_000436644.1
gene-SPN23F_RS00075	SPN23F_RS00075
cds-WP_000588897.1	WP_000588897.1
gene-SPN23F_RS00080	SPN23F_RS00080
gene-SPN23F_RS00085	SPN23F_RS00085
gene-SPN23F_RS00090	SPN23F_RS00090
gene-SPN23F_RS00095	SPN23F_RS00095
gene-SPN23F_RS00100	rrf
gene-SPN23F_RS00105	SPN23F_RS00105
cds-SPN23F_RS11705	
cds-SPN23F_RS11710	
gene-SPN23F_RS00140	comW
cds-WP_000939545.1	WP_000939545.1
gene-SPN23F_RS00145	SPN23F_RS00145
cds-WP_000205044.1	WP_000205044.1
gene-SPN23F_RS00150	tadA
cds-WP_000291870.1	WP_000291870.1
gene-SPN23F_RS11715	ffs
gene-SPN23F_RS13665	SPN23F_RS13665
cds-WP_001106362.1	WP_001106362.1
gene-SPN23F_RS13670	SPN23F_RS13670
cds-WP_001814135.1	WP_001814135.1
gene-SPN23F_RS00165	SPN23F_RS00165
cds-WP_000401841.1	WP_000401841.1
gene-SPN23F_RS00170	SPN23F_RS00170
cds-WP_000170931.1	WP_000170931.1
gene-SPN23F_RS00175	SPN23F_RS00175
cds-WP_000285962.1	WP_000285962.1
gene-SPN23F_RS00180	SPN23F_RS00180
cds-WP_000156419.1	WP_000156419.1
gene-SPN23F_RS00185	SPN23F_RS00185
cds-WP_000464160.1	WP_000464160.1
gene-SPN23F_RS00190	SPN23F_RS00190
cds-WP_001112859.1	WP_001112859.1
gene-SPN23F_RS00195	SPN23F_RS00195
cds-WP_001247549.1	WP_001247549.1
gene-SPN23F_RS11720	SPN23F_RS11720
cds-WP_000024181.1	WP_000024181.1
cds-SPN23F_RS00200	
gene-SPN23F_RS00205	SPN23F_RS00205
cds-WP_001209433.1	WP_001209433.1
gene-SPN23F_RS13455	SPN23F_RS13455
cds-WP_001030863.1	WP_001030863.1
gene-SPN23F_RS00210	SPN23F_RS00210
cds-WP_000701992.1	WP_000701992.1
gene-SPN23F_RS00215	SPN23F_RS00215
cds-WP_000691236.1	WP_000691236.1
gene-SPN23F_RS00220	radA
cds-WP_075213698.1	WP_075213698.1
gene-SPN23F_RS00225	SPN23F_RS00225
cds-WP_001809263.1	WP_001809263.1
cds-SPN23F_RS00230	
gene-SPN23F_RS00240	SPN23F_RS00240
cds-WP_000010163.1	WP_000010163.1
cds-SPN23F_RS13675	
gene-SPN23F_RS00260	polA
cds-WP_001812055.1	WP_001812055.1
gene-SPN23F_RS00265	SPN23F_RS00265
cds-WP_000076479.1	WP_000076479.1
gene-SPN23F_RS13680	SPN23F_RS13680
cds-WP_001814139.1	WP_001814139.1
gene-SPN23F_RS00275	SPN23F_RS00275
cds-WP_000009180.1	WP_000009180.1
gene-SPN23F_RS00280	SPN23F_RS00280
cds-WP_000366348.1	WP_000366348.1
gene-SPN23F_RS00285	recO
cds-WP_000616164.1	WP_000616164.1
gene-SPN23F_RS00290	plsX
cds-WP_000717451.1	WP_000717451.1
gene-SPN23F_RS00295	SPN23F_RS00295
cds-WP_000136449.1	WP_000136449.1
cds-SPN23F_RS11730	
