variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
gene-SPN23F_RS00005	2.70E-01	2.51E-01	4.85E-01	-5.50E-02	7.86E-02	4.05E-02	
gene-SPN23F_RS00010	2.70E-01	3.24E-02	2.67E-01	1.14E-01	1.03E-01	6.43E-02	
gene-SPN23F_RS00015	1.13E-01	5.21E-01	7.59E-01	-4.76E-02	1.55E-01	1.78E-02	
gene-SPN23F_RS00020	2.97E-01	1.19E-02	4.09E-01	1.26E-01	1.52E-01	4.79E-02	
gene-SPN23F_RS00025	7.13E-01	6.81E-01	9.67E-01	5.84E-03	1.40E-01	2.41E-03	
gene-SPN23F_RS00030	5.93E-01	7.83E-02	9.72E-01	-5.17E-03	1.45E-01	2.07E-03	
gene-SPN23F_RS00035	2.00E-02	3.57E-01	9.84E-01	1.36E-02	6.71E-01	1.17E-03	bad-chisq
gene-SPN23F_RS00040	6.00E-02	1.03E-01	9.97E-01	8.87E-04	2.43E-01	2.11E-04	
gene-SPN23F_RS14045	2.80E-01	1.31E-02	8.16E-01	3.78E-02	1.63E-01	1.35E-02	
gene-SPN23F_RS00050	3.93E-01	7.06E-01	7.35E-01	3.49E-02	1.03E-01	1.96E-02	
gene-SPN23F_RS00055	9.40E-01	3.23E-02	9.49E-01	-8.74E-03	1.35E-01	3.74E-03	
gene-SPN23F_RS00060	1.23E-01	5.86E-04	7.20E-01	1.03E-01	2.87E-01	2.08E-02	
gene-SPN23F_RS00065	5.67E-01	7.37E-01	9.95E-01	-7.38E-04	1.29E-01	3.31E-04	
gene-SPN23F_RS00140	4.00E-01	4.87E-01	3.41E-01	1.62E-01	1.70E-01	5.52E-02	
gene-SPN23F_RS00145	1.10E-01	3.65E-01	8.48E-01	-2.97E-02	1.54E-01	1.11E-02	
gene-SPN23F_RS00150	4.60E-01	7.18E-02	4.46E-01	-9.81E-02	1.29E-01	4.41E-02	
gene-SPN23F_RS13665	1.00E-02	9.71E-01	6.74E-01	-8.13E-02	1.93E-01	2.43E-02	bad-chisq
gene-SPN23F_RS13670	5.00E-02	3.02E-01	2.53E-01	9.89E-02	8.63E-02	6.63E-02	
gene-SPN23F_RS00170	1.13E-01	1.59E-01	6.75E-01	2.83E-02	6.75E-02	2.43E-02	
gene-SPN23F_RS00175	3.00E-02	1.36E-01	8.57E-01	-5.86E-02	3.24E-01	1.05E-02	bad-chisq
gene-SPN23F_RS00180	3.67E-02	7.24E-02	5.93E-01	-8.87E-02	1.66E-01	3.10E-02	bad-chisq
gene-SPN23F_RS00185	6.33E-02	8.12E-01	3.72E-01	6.61E-02	7.40E-02	5.17E-02	
gene-SPN23F_RS00195	7.00E-02	1.84E-01	5.95E-02	1.52E-01	8.01E-02	1.09E-01	
gene-SPN23F_RS11720	2.00E-02	3.57E-01	9.84E-01	1.36E-02	6.71E-01	1.17E-03	bad-chisq
gene-SPN23F_RS00205	4.00E-02	5.85E-01	5.02E-01	5.65E-02	8.40E-02	3.89E-02	
gene-SPN23F_RS13455	2.33E-02	7.45E-01	8.34E-01	-2.32E-02	1.11E-01	1.21E-02	bad-chisq
gene-SPN23F_RS00210	2.67E-01	1.33E-01	5.42E-01	-7.57E-02	1.24E-01	3.53E-02	
gene-SPN23F_RS00215	2.97E-01	8.30E-04	6.70E-01	-3.93E-02	9.22E-02	2.47E-02	
gene-SPN23F_RS00220	2.67E-01	4.98E-01	7.07E-01	4.93E-02	1.31E-01	2.18E-02	
gene-SPN23F_RS00225	3.40E-01	2.03E-03	2.05E-01	-1.55E-01	1.22E-01	7.34E-02	
gene-SPN23F_RS00240	2.23E-01	7.71E-01	4.74E-01	1.25E-01	1.74E-01	4.15E-02	
gene-SPN23F_RS00260	7.43E-01	9.03E-01	5.23E-01	8.22E-02	1.28E-01	3.70E-02	
gene-SPN23F_RS00265	2.87E-01	2.29E-01	9.22E-01	-1.42E-02	1.45E-01	5.65E-03	
gene-SPN23F_RS13680	4.13E-01	1.80E-01	7.56E-01	-2.50E-02	8.03E-02	1.80E-02	
gene-SPN23F_RS00275	8.53E-01	7.75E-10	3.17E-01	-1.72E-01	1.72E-01	5.79E-02	
gene-SPN23F_RS00280	7.17E-01	1.94E-01	5.44E-01	-7.35E-02	1.21E-01	3.51E-02	
gene-SPN23F_RS00285	5.87E-01	2.59E-01	5.98E-01	6.78E-02	1.29E-01	3.05E-02	
gene-SPN23F_RS00290	6.90E-01	7.78E-01	8.18E-01	-2.93E-02	1.27E-01	1.33E-02	
gene-SPN23F_RS00295	1.40E-01	4.35E-07	6.62E-02	-3.80E-01	2.06E-01	1.06E-01	bad-chisq
gene-SPN23F_RS00300	7.23E-01	2.22E-01	3.29E-01	9.20E-02	9.42E-02	5.65E-02	
gene-SPN23F_RS14050	2.33E-02	6.31E-01	9.45E-01	1.58E-02	2.28E-01	4.01E-03	bad-chisq
gene-SPN23F_RS00315	5.67E-01	6.11E-02	4.23E-01	7.46E-02	9.29E-02	4.65E-02	
gene-SPN23F_RS00320	8.70E-01	1.92E-01	8.92E-01	-1.73E-02	1.27E-01	7.88E-03	
gene-SPN23F_RS00325	5.43E-01	8.00E-01	3.95E-01	-9.47E-02	1.11E-01	4.93E-02	
gene-SPN23F_RS00330	9.40E-01	4.96E-07	1.66E-01	-3.21E-01	2.31E-01	8.02E-02	
gene-SPN23F_RS00335	6.73E-01	6.69E-01	3.11E-01	1.43E-01	1.41E-01	5.87E-02	
gene-SPN23F_RS00340	4.47E-01	3.24E-05	3.96E-01	9.62E-02	1.13E-01	4.92E-02	
gene-SPN23F_RS00345	4.77E-01	7.12E-04	3.52E-01	1.06E-01	1.13E-01	5.39E-02	
gene-SPN23F_RS00350	2.63E-01	1.57E-01	9.20E-01	9.65E-03	9.56E-02	5.84E-03	
gene-SPN23F_RS00355	6.60E-01	7.93E-01	7.09E-01	-3.62E-02	9.67E-02	2.17E-02	
gene-SPN23F_RS00360	8.20E-01	6.26E-01	1.83E-01	2.42E-01	1.81E-01	7.71E-02	
gene-SPN23F_RS13685	2.00E-02	3.57E-01	3.33E-01	-2.37E-01	2.45E-01	5.61E-02	bad-chisq
gene-SPN23F_RS00365	1.87E-01	4.59E-04	9.46E-02	-2.15E-01	1.28E-01	9.67E-02	
gene-SPN23F_RS00370	6.83E-01	9.20E-01	3.75E-01	5.73E-02	6.46E-02	5.13E-02	
gene-SPN23F_RS00380	2.93E-01	8.34E-01	1.14E-02	2.42E-01	9.51E-02	1.46E-01	
gene-SPN23F_RS00385	8.33E-01	9.57E-01	4.18E-01	1.76E-01	2.18E-01	4.69E-02	
gene-SPN23F_RS00390	2.60E-01	4.61E-03	8.86E-01	1.55E-02	1.08E-01	8.30E-03	
gene-SPN23F_RS00395	6.27E-01	1.03E-05	1.83E-01	-1.17E-01	8.75E-02	7.71E-02	
gene-SPN23F_RS00400	2.03E-01	1.27E-01	5.86E-01	7.98E-02	1.46E-01	3.16E-02	
