samples	penicillin
6925_1#49	0
6925_1#50	0
6925_1#51	0
6925_1#52	0
6925_1#53	0
6925_1#54	0
6925_1#55	1
6925_1#56	1
6925_1#57	0
6925_1#58	1
6925_1#59	0
6925_1#60	0
6925_1#61	0
6925_1#62	1
6925_1#63	1
6925_1#64	0
6925_1#65	1
6925_1#66	0
6925_1#67	0
6925_1#68	0
6925_1#69	0
6925_1#70	0
6925_1#71	0
6925_2#73	0
6925_2#74	0
6925_2#75	0
6925_2#76	0
6925_2#77	1
6925_2#78	0
6925_2#79	0
6925_2#80	0
6925_2#81	0
6925_2#82	0
6925_2#83	1
6925_2#84	1
6925_2#85	1
6925_2#86	1
6925_2#87	0
6925_2#88	1
6925_2#89	0
6925_2#90	0
6925_2#91	0
6925_2#92	0
6925_2#93	0
6925_2#94	0
6925_2#95	1
6930_8#10	1
6930_8#11	0
6930_8#12	0
6930_8#13	0
6930_8#14	0
6930_8#15	0
6930_8#16	0
6930_8#17	0
6930_8#18	0
6930_8#19	1
6930_8#20	1
6930_8#21	1
6930_8#22	0
6930_8#23	0
6930_8#5	0
6930_8#6	0
6930_8#7	1
6930_8#8	0
6930_8#9	0
6952_4#10	0
6952_4#11	1
6952_4#12	0
6952_4#13	0
6952_4#14	1
6952_4#15	0
6952_4#16	0
6952_4#17	0
6952_4#18	0
6952_4#19	0
6952_4#1	1
6952_4#20	0
6952_4#21	1
6952_4#22	0
6952_4#23	0
6952_4#3	1
6952_4#4	0
6952_4#5	1
6952_4#6	0
6952_4#7	0
6952_4#8	0
6952_7#10	1
6952_7#11	1
6952_7#13	0
6952_7#14	0
6952_7#15	0
6952_7#16	0
6952_7#17	0
6952_7#18	0
6952_7#19	1
6952_7#1	0
6952_7#20	1
6952_7#21	0
6952_7#22	0
6952_7#23	1
6952_7#2	0
6952_7#3	1
6952_7#4	1
6952_7#5	0
6952_7#6	0
6952_7#7	1
6952_7#8	0
6952_7#9	0
6999_1#10	0
6999_1#11	0
6999_1#12	0
6999_1#13	0
6999_1#14	1
6999_1#15	0
6999_1#16	1
6999_1#17	1
6999_1#18	1
6999_1#19	0
6999_1#1	0
6999_1#20	0
6999_1#21	1
6999_1#22	0
6999_1#23	0
6999_1#2	1
6999_1#3	0
6999_1#4	0
6999_1#5	0
6999_1#6	0
6999_1#7	0
6999_1#8	0
6999_1#9	0
6999_2#10	0
6999_2#11	0
6999_2#12	1
6999_2#13	0
6999_2#14	1
6999_2#15	1
6999_2#16	1
6999_2#17	0
6999_2#18	0
6999_2#19	1
6999_2#1	1
6999_2#20	1
6999_2#21	1
6999_2#22	0
6999_2#23	1
6999_2#2	0
6999_2#3	1
6999_2#4	1
7553_5#58	1
7622_2#35	1
7622_2#36	1
7622_2#37	1
7622_2#38	1
7622_2#39	1
7622_2#3	0
7622_2#40	0
7622_2#41	0
7622_2#42	0
7622_2#43	0
7622_2#44	0
7622_2#47	0
7622_2#48	1
7622_2#4	1
7622_2#5	0
7622_2#6	1
7622_2#7	1
7622_2#8	0
7622_2#9	0
7622_3#49	0
7622_3#50	1
7622_3#51	1
7622_3#52	1
7622_3#53	0
7622_3#54	1
7622_3#55	0
7622_3#56	0
7622_3#57	0
7622_3#58	0
7622_3#59	1
7622_3#60	0
7622_3#62	1
7622_3#63	1
7622_3#64	0
7622_3#65	1
7622_3#66	0
7622_3#67	0
7622_3#68	1
7622_3#69	0
7622_3#70	0
7622_3#71	1
7622_3#72	0
7622_3#74	0
7622_3#75	1
7622_3#76	0
7622_3#78	0
7622_3#79	1
7622_3#80	1
7622_3#81	1
7622_3#82	1
7622_3#83	0
7622_3#84	1
7622_3#86	0
7622_3#87	0
7622_3#88	1
7622_3#89	0
7622_3#91	0
7622_3#92	0
7622_3#93	1
7622_3#94	1
7622_3#95	1
7622_3#96	1
7622_4#10	0
7622_4#11	0
7622_4#12	0
7622_4#13	0
7622_4#14	1
7622_4#15	0
7622_4#16	1
7622_4#17	0
7622_4#18	0
7622_4#19	0
7622_4#1	0
7622_4#20	1
7622_4#21	0
7622_4#22	1
7622_4#23	1
7622_4#24	0
7622_4#25	1
7622_4#26	0
7622_4#27	0
7622_4#28	1
7622_4#29	0
7622_4#2	0
7622_4#31	0
7622_4#32	0
7622_4#33	1
7622_4#34	0
7622_4#35	0
7622_4#36	0
7622_4#37	0
7622_4#38	0
7622_4#39	0
7622_4#3	1
7622_4#40	1
7622_4#41	0
7622_4#42	0
7622_4#43	1
7622_4#44	0
7622_4#47	1
7622_4#48	0
7622_4#4	0
7622_4#5	0
7622_4#6	0
7622_4#7	0
7622_4#8	1
7622_4#9	0
7622_5#49	0
7622_5#50	0
7622_5#51	0
7622_5#52	0
7622_5#53	1
7622_5#54	0
7622_5#55	0
7622_5#56	1
7622_5#57	0
7622_5#58	0
7622_5#60	0
7622_5#61	0
7622_5#62	0
7622_5#63	0
7622_5#64	0
7622_5#65	0
7622_5#66	0
7622_5#67	0
7622_5#68	0
7622_5#70	0
7622_5#72	0
7622_5#73	1
7622_5#74	0
7622_5#75	1
7622_5#76	0
7622_5#77	1
7622_5#78	1
7622_5#79	0
7622_5#80	1
7622_5#81	0
7622_5#82	1
7622_5#83	0
7622_5#84	0
7622_5#85	0
7622_5#86	0
7622_5#87	0
7622_5#88	0
7622_5#89	1
7622_5#90	0
7622_5#91	0
7622_5#92	0
7622_5#93	1
7622_5#94	0
